segment_column,segment_value,row_count,default_count,default_rate,default_rate_pct,portfolio_share_pct,exposure,median_amount,exposure_share_pct,median_income,median_interest_rate,median_loan_to_income_ratio
tier_of_employment,A,10526,429,0.0407562226866806,4.07562226866806,7.830854728196582,1229511044.0,130278.5,8.36486294789303,70000.0,6.88,1.7464508064516129
work_experience,2-3,1538,249,0.16189856957087126,16.189856957087127,1.1442005103521133,164623095.0,55098.0,1.1199977702135826,60000.0,12.73,0.9522059386973181
work_experience,5-10,8132,1236,0.15199212985735366,15.199212985735366,6.049830006621186,936799126.0,67151.0,6.373424896780327,60000.0,12.73,1.0963562091503267
work_experience,1-2,1843,269,0.14595767769940315,14.595767769940316,1.371106333276297,217096596.0,59926.0,1.4769963074801808,60000.0,12.73,1.0137142857142858
work_experience,<1,1443,203,0.14067914067914067,14.067914067914067,1.0735249261626132,153151240.0,54814.5,1.0419500818244565,58000.0,12.73,0.9709402412280702
work_experience,10+,6486,895,0.13798951588035768,13.798951588035768,4.825282516348379,954183466.0,124150.5,6.4916976217381155,70000.0,12.73,1.7451172442244225
work_experience,3-5,1392,189,0.13577586206896552,13.577586206896552,1.0355832967556187,158227144.0,64613.0,1.0764835181070036,60000.0,12.73,1.018883116883117
work_experience,Unknown,113583,9112,0.08022327284892986,8.022327284892986,84.5004724104838,12114439221.0,76445.5,82.41944980385634,61900.0,11.73,1.2382523085425228
home,Rent,56442,5853,0.10369937280748379,10.36993728074838,41.99022445077632,2111629876.0,32072.0,14.366275598429151,53000.0,12.06,0.5842139098604437
home,Own,12397,1080,0.08711785109300638,8.711785109300637,9.222791759970837,1031294798.0,39924.0,7.016317328943836,53467.0,11.84,0.7793269230769231
home,Mortgage,65490,5204,0.07946251336081844,7.946251336081844,48.721515879687836,11546242225.0,188163.0,78.55377489012653,72000.0,11.73,2.632669902912621
married,Unknown,45084,4122,0.09142933191376099,9.142933191376098,33.54040039578327,4945160700.0,75590.0,33.6439365166099,62000.0,11.84,1.230095238095238
married,No,44496,4009,0.09009798633585041,9.00979863358504,33.102955727326155,4900894269.0,77189.0,33.34277400951869,62000.0,11.84,1.238288888888889
married,Yes,44837,4022,0.08970270089435065,8.970270089435065,33.35664387689057,4852464919.0,76872.0,33.01328947387141,62000.0,11.84,1.2401473684210529
is_verified,Source Verified,33630,3125,0.09292298542967588,9.292298542967588,25.019156803082943,3659234232.0,75565.0,24.895256528430668,62000.0,11.84,1.238057142857143
is_verified,Unknown,33507,3057,0.09123466738293491,9.12346673829349,24.927650520395485,3734907051.0,78946.0,25.41008944750424,62000.0,11.84,1.2596363636363637
is_verified,Not Verified,33722,3024,0.08967439653638574,8.967439653638575,25.08760052671909,3654402811.0,75422.0,24.86238640928388,61798.0,11.84,1.219327807017544
is_verified,Verified,33558,2947,0.08781810596579057,8.781810596579056,24.96559214980248,3649975794.0,76603.0,24.832267614781216,62000.0,11.84,1.2184444444444444
